#{"t_start": 1657722338.7432427, "env_id": "CustomHopper-source-v0"}
r,l,t
151.76289,80,6.873002
59.575204,36,6.897931
55.478714,32,6.91997
109.20343,56,6.958658
106.242889,57,6.997617
62.097717,83,7.055234
70.729087,41,7.083629
25.672073,25,7.100824
64.143321,38,7.127078
76.074578,47,7.159717
85.267456,54,7.197149
115.065997,89,7.258701
124.705229,65,7.303418
51.083143,30,7.324705
28.192216,21,7.340505
90.49219,50,7.577212
63.013737,36,7.607762
65.767081,39,7.636505
106.673225,55,7.677756
88.147609,57,7.718216
269.737023,111,7.794737
73.174406,42,7.823739
223.735061,101,7.89349
79.09071,44,7.923932
93.065747,50,7.958469
88.529123,46,7.993214
63.218642,36,8.01861
54.679036,33,8.041734
7.489738,10,8.048595
81.576081,46,8.079875
86.444645,60,8.120995
194.121014,86,8.179987
90.764569,58,8.219978
88.865338,49,8.253898
203.881633,106,8.327374
70.893449,39,8.354201
54.782815,33,8.377047
78.993104,45,8.408073
151.381538,74,8.458899
203.137074,101,8.539974
85.34665,47,8.57638
98.270387,54,8.618999
87.011356,50,8.656233
74.193773,42,8.685385
179.654866,81,8.745184
195.068458,89,8.806959
87.086106,48,8.84943
7.931502,10,8.858203
95.752577,52,8.899814
94.608887,51,8.93524
193.546312,87,8.994893
90.19528,55,9.231978
47.059435,26,9.251567
94.494642,55,9.292043
123.715864,64,9.338629
137.070992,75,9.394572
189.677935,89,9.464926
113.077874,61,9.510411
102.555847,60,9.55288
222.106547,108,9.627568
214.498669,92,9.691127
58.7686,40,9.720261
117.485364,60,9.761544
72.900122,43,9.791578
169.509426,78,9.845017
220.013272,101,9.915145
107.00958,58,9.955201
62.394502,41,9.983445
84.763638,46,10.015109
6.813267,10,10.021801
156.077799,73,10.071615
169.024786,78,10.125147
61.983046,36,10.150097
134.039991,69,10.197848
85.822255,53,10.23798
81.365722,45,10.271381
70.816982,41,10.300909
121.502087,64,10.348008
107.543158,56,10.388777
68.02781,39,10.417433
213.252147,97,10.487959
60.959291,35,10.513518
123.374504,65,10.560613
190.434892,88,10.624828
134.24399,68,10.674342
226.284285,110,10.962037
108.171393,65,11.010109
94.438988,50,11.046211
85.758858,47,11.079105
206.332091,106,11.15204
234.096391,107,11.225636
63.620575,37,11.251417
225.148607,95,11.317575
218.538958,101,11.38829
222.357031,98,11.454948
190.246916,92,11.517905
9.839615,13,11.527538
202.383728,97,11.598894
250.57105,111,11.674894
72.31416,41,11.703277
224.567156,103,11.773685
84.113322,47,11.80651
220.098092,97,11.87348
222.052256,108,11.948599
242.270097,102,12.018971
132.026286,68,12.066657
217.197578,106,12.139587
124.064869,62,12.182575
233.729089,105,12.254365
214.927833,97,12.321788
229.952095,108,12.592803
204.318564,104,12.664296
275.097516,123,12.748629
121.93734,65,12.793992
225.289738,114,12.872111
221.292518,106,12.945107
174.165794,97,13.011219
211.1702,94,13.07674
247.348589,116,13.156425
129.408478,63,13.199114
140.399925,73,13.248293
205.564036,100,13.317149
249.717308,114,13.3957
127.607255,64,13.439477
215.787044,98,13.506935
220.419153,122,13.591243
276.628409,129,13.679231
250.533614,117,13.759761
242.576436,106,13.832985
241.661361,106,13.906119
171.594668,104,14.193113
284.92928,129,14.281428
221.457384,104,14.355467
