#{"t_start": 1657721762.1764545, "env_id": "CustomHopper-source-v0"}
r,l,t
39.485763,52,8.683708
154.251106,79,8.737962
71.920449,45,8.76909
139.967878,66,8.813767
5.838939,16,8.825063
17.567292,16,8.835912
104.960701,57,8.874606
135.754286,72,8.924135
75.231398,47,8.956874
185.762371,104,9.028539
66.93476,38,9.054674
125.723634,63,9.097459
100.982024,57,9.136317
70.646549,80,9.191065
62.29609,37,9.216438
28.952965,24,9.232801
80.1463,48,9.265488
75.85565,45,9.296232
97.944803,58,9.336167
218.329367,142,9.433463
53.345898,31,9.454909
15.879299,15,9.465349
97.532832,60,10.419226
70.420061,40,10.446572
64.052749,37,10.471907
98.381329,52,10.507267
90.452795,59,10.54814
178.74633,83,10.605052
121.352515,86,10.66485
180.787289,88,10.725483
143.042802,76,10.777203
125.506258,64,10.820553
122.064067,62,10.862862
15.085808,16,10.873982
73.010449,41,10.901929
18.663942,30,10.92285
203.810745,86,10.981502
115.203779,58,11.021084
76.229718,43,11.050697
178.495098,95,11.115661
50.527073,48,11.148759
49.619938,28,11.168148
79.912742,44,11.198483
75.625177,44,11.228791
149.398486,73,11.278735
47.666081,33,11.30132
80.843965,51,11.336386
184.420683,84,11.394112
65.061777,37,11.419499
84.469421,49,11.453278
87.032195,50,11.487622
164.524484,82,11.543516
104.982179,57,11.582456
23.634075,21,11.596821
72.923298,41,11.624871
28.377205,22,11.639825
67.226296,41,11.668102
99.447087,58,11.707936
205.838316,87,11.766825
77.165166,48,12.709612
185.169035,89,12.770035
129.512417,69,12.817245
238.585456,108,12.891116
211.190349,93,12.954556
114.508246,59,12.994517
43.896847,27,13.013018
222.379867,113,13.089854
172.555429,82,13.145339
70.501609,49,13.17929
68.126653,39,13.205894
105.716145,56,13.244235
168.677693,80,13.298696
158.149749,80,13.353307
99.94356,55,13.390516
37.436297,29,13.41046
40.326372,29,13.430344
94.288775,50,13.464427
6.203701,10,13.471101
148.602184,70,13.518444
140.542762,66,13.563027
93.048913,50,13.59697
136.318898,71,13.645021
84.489178,58,13.684528
70.168843,39,13.71117
81.517402,46,13.742211
102.226371,56,13.780154
99.544955,54,13.817093
180.344354,82,13.872828
100.696766,64,13.916927
192.607699,93,13.98069
204.132727,92,14.042708
107.089408,56,14.080973
63.180773,36,15.01476
91.884879,55,15.052265
167.708647,85,15.109914
55.768794,32,15.131792
51.462722,29,15.151715
61.816678,36,15.176278
140.471034,70,15.223797
208.416778,105,15.295098
81.288576,45,15.325825
60.213783,35,15.349616
148.890745,70,15.397494
116.775618,66,15.442961
207.370847,93,15.506128
246.141727,114,15.583113
69.052613,44,15.612775
38.769253,29,15.632773
112.212617,61,15.674088
78.229643,45,15.704573
260.172352,109,15.777907
244.443826,107,15.850224
97.470388,52,15.88551
175.829301,78,15.938961
82.539039,46,15.970048
190.845408,93,16.033668
188.727115,83,16.090141
188.784609,86,16.148563
93.690273,50,16.182196
182.265237,88,16.241811
55.736892,32,16.263699
206.552983,100,16.331641
223.90986,102,17.310761
225.340766,100,17.378873
210.483221,103,17.448324
199.77954,92,17.510602
221.658047,105,17.582097
230.866261,114,17.659517
236.26857,104,17.730019
171.646467,86,17.788204
226.323982,109,17.862505
250.936178,107,17.935337
156.136453,71,17.983675
200.18383,97,18.049559
252.705218,123,18.133573
231.929073,106,18.205835
223.561316,102,18.275309
253.740855,114,18.352632
247.05598,117,18.43172
118.440529,62,18.473781
227.186492,109,18.54774
216.379533,97,18.613585
207.154798,91,18.6756
233.698616,114,19.662611
269.195796,112,19.738388
169.571374,77,19.791086
158.675789,87,19.850164
211.978226,95,19.914948
200.741833,93,19.977721
167.46748,78,20.03072
196.924676,89,20.091197
236.038699,105,20.162242
171.451781,85,20.220057
192.192507,83,20.276241
208.255411,90,20.337342
240.662874,100,20.405055
258.67143,110,20.479831
156.979278,99,20.546876
128.073465,65,20.590996
202.875733,92,20.653709
331.906054,128,20.740087
209.807698,101,20.80847
235.408765,106,20.880478
220.471074,95,20.945279
225.919141,100,21.922386
237.361346,98,21.988819
239.815378,109,22.063294
287.30927,129,22.15124
251.14828,115,22.229618
138.978102,73,22.278763
296.362905,124,22.363093
256.328725,116,22.442239
84.574531,48,22.47503
223.202715,107,22.547801
125.643387,65,22.592224
265.777918,110,22.667037
196.282171,95,22.731925
247.273192,116,22.810357
135.730801,72,22.859751
227.46031,107,22.932736
93.67092,54,22.970046
236.053333,100,23.03831
234.928777,102,23.107237
201.625537,99,23.175119
212.76608,99,23.242559
295.666163,141,24.247608
278.481778,116,24.326203
200.133039,101,24.394792
222.060698,100,24.462887
250.023073,120,24.544084
197.019529,108,24.617804
230.550121,101,24.686676
235.679539,112,24.76307
299.754285,129,24.851076
303.034756,119,24.93196
183.68375,89,24.992694
233.903547,107,25.065369
311.849912,130,25.15339
126.438448,68,25.199182
161.923227,83,25.255216
253.352971,113,25.332185
227.930316,110,25.406367
277.644675,121,25.488162
186.955183,92,25.550482
315.93688,149,26.561026
258.460731,117,26.639948
232.542221,106,26.712036
358.833303,149,26.813146
268.977627,135,26.904488
267.360122,124,26.988408
301.559843,136,27.081173
364.911751,146,27.180608
319.554322,127,27.266962
379.874409,157,27.373239
331.98689,137,27.466763
263.675646,127,27.553738
222.888941,100,27.621837
262.59785,119,27.703042
347.410352,141,27.799096
305.548168,135,27.890847
299.658375,125,28.885678
291.567733,129,28.973556
347.387949,148,29.074463
308.711114,120,29.155612
379.427606,159,29.263451
201.304993,108,29.336216
84.558051,49,29.369767
340.210072,137,29.464664
256.193636,105,29.535992
295.203858,126,29.620904
242.566806,110,29.695848
299.759741,143,29.792586
240.730419,107,29.865123
297.678984,134,29.956538
76.778902,46,29.987642
350.043949,136,30.080185
285.509765,122,30.162801
333.960214,145,31.173154
329.079728,145,31.271909
330.365394,135,31.363914
317.528189,133,31.454185
267.099813,121,31.536427
326.798272,127,31.622854
245.482787,98,31.689423
292.093977,139,31.783698
405.93091,152,31.887382
210.986688,119,31.968682
334.772464,145,32.067074
358.118528,160,32.175828
277.531003,117,32.255135
294.260778,145,32.354327
324.412079,134,32.445341
280.556274,119,33.435338
286.078197,120,33.516277
344.567861,136,33.608146
294.779364,130,33.69604
340.597529,134,33.787126
363.038497,136,33.880001
347.370141,135,33.971679
341.849554,136,34.064222
322.331964,120,34.14527
428.963098,155,34.249808
344.064485,131,34.337821
305.621055,127,34.42372
368.84703,158,34.531258
331.940065,128,34.618137
358.726522,146,34.717514
323.296191,144,35.724518
361.205208,151,35.827388
333.737336,139,35.922143
357.736823,132,36.011742
461.147026,164,36.123114
422.518562,160,36.231963
333.274563,123,36.315385
402.885187,144,36.413629
333.112875,126,36.498897
310.12012,123,36.582299
320.687864,131,36.671185
309.171728,134,36.762298
411.170407,146,36.861156
338.708696,126,36.946656
368.133103,140,37.041905
363.954702,140,38.047112
218.880173,97,38.112875
345.035571,139,38.207055
519.399245,199,38.341111
125.697903,65,38.385387
346.019872,134,38.476299
236.983002,109,38.549986
366.295409,137,38.642606
575.054474,204,38.780574
398.460857,140,38.875914
409.396416,144,38.973384
310.974755,127,39.058931
288.1009,119,39.139589
192.965087,87,39.198762
249.52902,103,39.268235
358.214633,125,39.35266
179.279672,83,40.318357
317.879015,128,40.405666
244.718159,110,40.4807
245.205557,101,40.549681
374.276288,134,40.640324
355.643925,149,40.742224
363.996409,135,40.833856
348.919305,138,40.92805
353.601456,146,41.027271
402.263705,152,41.130749
370.990358,144,41.228546
334.510324,124,41.312714
478.857517,185,41.438186
423.24194,157,41.54398
524.035834,185,41.669732
377.226798,132,42.668925
451.482327,161,42.778563
577.530286,206,42.918841
425.335915,157,43.026234
360.685875,145,43.124516
609.169267,209,43.266059
573.587425,214,43.410389
615.844674,199,43.54456
426.366588,156,43.650624
356.52127,139,43.744101
610.317143,206,43.883976
396.51093,145,43.981937
363.586047,141,44.988216
475.882564,194,45.120093
366.498191,143,45.216784
357.535234,153,45.321077
377.656723,151,45.423738
385.797567,151,45.526668
575.090661,221,45.676481
518.675142,190,45.80537
482.345208,160,45.914272
411.48658,144,46.012623
540.368065,190,46.141335
364.598005,134,46.232294
368.604496,136,47.234876
385.932646,137,47.328743
778.345587,272,47.515307
456.094631,162,47.62658
422.181866,161,47.736301
508.734997,170,47.852025
394.198837,138,47.946295
600.607391,191,48.075554
413.125796,158,48.182927
489.054766,169,48.298414
390.011854,132,48.388228
398.592442,135,48.479601
392.331421,157,48.58644
256.69235,108,49.549666
479.340224,161,49.658995
559.838485,200,49.794413
399.817614,141,49.890307
147.845584,78,49.943561
615.226053,219,50.091823
119.141377,64,50.134942
370.02155,135,50.22666
513.380385,183,50.350252
576.075312,193,50.480907
599.7831,208,50.622037
435.662743,150,50.723717
553.62295,232,50.881599
388.811907,151,51.874825
626.502689,205,52.014381
536.20447,179,52.135424
635.149718,208,52.277815
173.772717,82,52.334163
524.444582,187,52.462298
453.840565,167,52.576181
417.578495,152,52.679371
518.723989,182,52.801878
381.496561,133,52.892431
381.117064,138,52.986147
579.548177,200,53.121126
532.485941,182,54.134776
352.401819,136,54.227664
439.820634,153,54.331475
585.406794,199,54.466376
561.935495,204,54.605501
374.162522,129,54.69293
673.554677,237,54.85495
260.365499,120,54.937462
173.65063,90,54.99891
418.624372,149,55.099999
590.507754,192,55.230701
699.897767,240,55.393688
528.29127,176,56.404742
616.187448,201,56.541505
467.667859,167,56.65473
661.015474,214,56.799448
383.709977,164,56.912175
397.831344,139,57.005821
651.043462,213,57.150832
563.493091,230,57.306501
414.427298,141,57.401969
228.975242,108,57.475225
415.397971,150,57.577398
624.088593,206,57.717096
177.133058,85,58.664203
446.268764,156,58.769515
598.371799,209,58.911694
557.207201,180,59.034069
698.268801,220,59.182907
859.629298,297,59.384061
541.128578,217,59.531338
513.040481,192,59.661958
1166.942644,500,60.001548
583.397298,191,61.020384
141.039942,72,61.06953
458.15832,153,61.172734
885.526098,282,61.36304
412.751506,146,61.461281
1268.589105,441,61.759553
742.543704,304,61.965764
414.142464,148,62.066598
638.163742,208,62.20698
1041.349505,330,63.325239
383.375105,130,63.413244
434.369189,145,63.511713
1456.94499,500,63.850055
1197.888762,456,64.159183
614.483992,192,64.289504
460.775392,156,64.395202
386.34744,136,64.486991
391.829564,165,65.488443
1492.029933,475,65.808407
1017.437094,332,66.035168
283.721319,111,66.110196
548.562859,194,66.241751
395.593403,144,66.338518
1225.058645,500,66.677363
884.847017,287,67.763256
1143.963073,398,68.033881
591.484984,218,68.181681
784.098255,254,68.353536
923.962881,303,68.558716
1137.125588,457,68.868146
521.147515,165,68.97962
582.096181,199,69.114478
1143.284252,368,70.254051
566.299256,185,70.379779
702.10319,226,70.532784
682.739944,210,70.674973
585.294626,235,70.834602
452.397917,153,70.937734
1150.397708,500,71.277376
620.089196,201,71.413286
654.232726,207,72.443385
1113.083508,369,72.693603
602.773532,197,72.826878
878.313409,280,73.015857
783.162629,262,73.193932
559.303345,198,73.32832
635.143564,244,73.493924
832.658689,289,73.690204
610.938193,209,74.722034
1352.601034,500,75.061428
647.547911,213,75.205459
619.032498,194,75.33607
1383.58224,500,75.674265
1135.120612,396,75.942285
1104.382212,353,77.07127
229.882997,95,77.135903
604.22537,199,77.271115
389.268652,141,77.366914
959.650043,304,77.573103
1062.810939,321,77.790822
679.801792,216,77.937269
1298.211985,500,79.166416
266.008546,112,79.242596
1038.356407,316,79.45683
936.690332,296,79.657366
968.108482,297,79.858609
747.998024,240,80.021257
1510.95062,500,80.359385
1086.300109,377,81.505215
864.728624,281,81.695222
772.467648,248,81.863288
690.656072,223,82.014004
1142.085626,346,82.24917
881.868883,262,82.427318
638.535152,202,82.564662
549.065923,171,82.680345
1197.455095,461,83.884784
1271.724395,500,84.22666
1206.986413,500,84.568249
1187.208456,500,84.908011
1184.879848,457,86.108645
879.14897,270,86.290816
617.399021,216,86.437068
615.210307,250,86.607007
1519.363085,500,86.94664
423.352992,156,87.052656
733.729683,232,87.209739
947.998892,299,88.30188
1278.555786,500,88.640968
1161.67527,500,88.980772
1572.409795,500,89.319894
944.555723,298,89.521482
650.344617,210,90.55806
871.80998,260,90.734819
1263.539481,394,91.002402
827.54046,269,91.185109
662.27833,212,91.329144
614.082166,200,91.464852
683.666751,222,91.615134
1481.677977,500,92.841087
747.008284,231,92.998236
865.758038,256,93.171203
591.874156,196,93.304022
830.554861,253,93.474807
870.340593,271,93.658453
638.336829,202,93.794771
751.547292,233,93.952465
638.518968,200,94.088105
504.773888,165,94.199611
661.259545,206,95.229653
867.379505,262,95.405755
634.290729,201,95.541441
1440.025253,500,95.879439
690.155706,218,96.027293
1139.200774,346,96.26149
860.228589,256,96.434245
877.714141,264,97.501079
596.130038,186,97.627017
829.39864,247,97.794063
869.278602,268,97.97573
594.195347,188,98.102632
698.028692,220,98.251033
583.225938,190,98.378912
519.799663,165,98.490146
464.997523,190,98.61892
714.88403,220,99.65489
1025.088841,312,99.86653
849.470911,257,100.040553
1326.958025,417,100.321838
1657.525832,496,100.657795
913.501837,270,100.840328
608.915203,190,100.968958
1027.242648,313,102.069012
1115.383206,353,102.308206
883.938782,272,102.492507
1094.220165,340,102.722398
570.565031,189,102.850265
522.75178,166,102.962642
1136.449618,345,103.195811
727.151054,216,104.229342
492.912628,157,104.335731
1021.048322,312,104.546639
550.32902,169,104.661014
538.845915,171,104.776655
606.212901,186,104.903205
1081.90044,323,105.121109
503.873195,161,105.229988
557.504238,171,105.346112
842.874984,272,105.529999
579.354879,179,106.540792
1307.306031,500,106.880428
785.710599,237,107.041003
837.265285,256,107.213754
1119.616078,328,107.435087
620.518994,191,107.564288
784.566631,238,107.724598
582.353635,179,107.845695
971.829533,305,108.94191
1338.723445,405,109.215927
615.649911,191,109.345455
771.195125,227,109.498233
268.002061,109,109.572244
854.347753,273,109.756718
1253.442415,390,110.020244
1380.109702,500,111.247569
575.336847,180,111.369126
1185.367886,355,111.608507
866.610931,254,111.779805
463.43048,147,111.879507
786.770029,236,112.038613
754.320467,222,112.188975
796.178832,231,112.344799
1661.750872,495,113.567271
1149.188005,350,113.80422
996.805683,305,114.010306
1570.642175,500,114.34833
1060.242143,316,114.561399
1105.2159,336,115.673429
857.705302,255,115.8454
1083.623766,336,116.072773
864.139734,264,116.251459
518.16992,161,116.360443
780.377472,236,116.519946
873.979526,263,116.696842
825.66926,243,116.860885
369.087995,137,117.840546
787.938273,314,118.054061
1109.719255,325,118.273441
809.049395,239,118.434867
634.199963,219,118.582883
634.745028,194,118.714187
827.455303,246,118.88041
1112.519113,342,119.111308
463.814555,148,120.100134
1256.203406,379,120.357945
900.507239,271,120.541951
868.589909,257,120.716148
1102.04823,326,120.936859
1374.147397,500,121.27442
787.585223,234,121.432702
787.735621,226,122.472175
543.924593,170,122.587025
565.612692,219,122.735552
608.379384,187,122.862048
380.089326,145,122.960456
1447.621638,434,123.253392
237.144274,101,123.322222
852.475873,261,123.498487
607.885303,184,123.622579
505.489746,155,123.727386
614.629988,183,124.736274
1030.028758,307,124.94378
1505.974403,500,125.281428
609.866235,187,125.407971
838.950532,254,125.579575
491.49355,156,125.6853
987.602839,290,125.88128
522.384337,167,125.994117
1520.908397,500,127.220023
832.160835,253,127.391078
702.938693,209,127.532733
1093.290528,327,127.753463
779.62958,247,127.920981
1079.215372,327,128.14194
1179.957166,349,129.265634
531.291899,161,129.374336
1000.121933,300,129.576597
1094.871462,329,129.79859
695.720639,217,129.945104
952.245625,289,130.140025
1621.631495,500,130.476982
524.023486,160,131.472414
743.411094,223,131.623457
1416.68379,500,131.961286
1326.581686,399,132.23048
777.756856,245,132.395365
1526.938848,500,132.732872
1539.63547,500,133.957854
1180.609522,365,134.204203
936.26308,288,134.398515
1002.341246,296,134.597862
1403.198011,500,134.935939
1642.326144,500,136.161253
1464.569118,500,136.498483
623.818155,196,136.631408
1316.72704,500,136.973679
1428.180626,500,137.311664
826.078235,252,138.384955
798.62624,242,138.548585
544.320694,172,138.664895
1040.53335,315,138.878253
557.463919,173,138.99568
558.756372,186,139.121748
814.289625,242,139.285575
536.438789,175,139.40384
529.551767,166,139.517218
1276.763597,388,140.68883
814.286833,245,140.854996
803.057178,248,141.022134
1019.167948,311,141.231326
793.562187,243,141.395935
1037.671894,316,141.609331
776.885467,236,141.768631
703.162704,216,141.914904
1102.110679,329,143.046852
1515.185074,500,143.384559
944.502541,301,143.588311
777.584956,243,143.752805
801.167124,247,143.920595
809.296292,246,144.087044
1430.377125,422,145.282779
837.158451,252,145.455316
1112.791696,341,145.686386
1153.270424,347,145.921447
1503.685633,500,146.259459
1044.031522,331,146.483697
973.896204,288,147.587042
732.069674,225,147.739622
1170.402849,362,147.984917
1007.041645,309,148.193782
601.599148,189,148.321537
847.639932,265,148.50075
1560.416513,500,148.838485
1331.771575,409,150.025619
1464.76246,500,150.364588
1349.798227,413,150.644076
1484.763207,500,150.982874
1471.847358,500,152.229186
1495.914401,500,152.567881
1527.696821,500,152.905597
1445.319197,500,153.243926
1486.995763,500,154.491302
1491.40082,500,154.83095
1437.290679,500,155.170146
1637.238189,500,155.508923
1513.545684,500,156.757808
889.7083,275,156.945169
1485.594631,500,157.284296
1023.516002,304,157.489803
1529.122614,500,157.82765
1360.324405,438,159.033149
828.977307,264,159.211132
1596.613445,478,159.53405
1496.66381,500,159.873218
1071.423025,314,160.084633
737.533593,227,160.238184
952.765625,284,161.339296
988.491656,298,161.540348
724.234501,219,161.689004
871.065737,259,161.863904
1175.214619,353,162.102611
1572.129512,500,162.439545
1538.881275,460,163.659914
1621.946913,500,163.996694
908.493468,274,164.181178
881.996997,263,164.358174
803.265314,246,164.523871
1105.261506,344,164.756041
1312.596102,387,165.92837
811.748573,245,166.093698
1553.576758,500,166.431554
1571.115086,500,166.769657
1072.355463,325,166.989135
1415.43621,407,168.172104
1019.168727,294,168.370005
1575.393826,500,168.707782
858.623239,257,168.881934
1579.877784,500,169.218582
1705.213789,498,170.463534
983.541746,286,170.657299
1573.426959,500,170.994923
1605.514263,500,171.333326
1585.894816,500,171.671839
1229.79408,351,172.817696
1575.690903,500,173.155787
1166.485995,346,173.389565
631.903049,189,173.517349
1548.120261,500,173.855183
946.664888,324,174.074605
1340.56274,396,175.251496
1542.584672,500,175.589159
1652.187099,480,175.914912
1103.999441,317,176.129309
1143.372729,340,176.358911
864.310113,256,177.440767
634.750213,189,177.568766
888.389624,253,177.739377
921.436875,264,177.917752
871.736625,258,178.092409
649.461329,198,178.226136
955.701548,280,178.414254
1305.882801,373,178.665776
888.709494,262,179.751929
848.100118,253,179.92229
866.178075,250,180.090927
913.255736,270,180.272918
1355.013684,385,180.533621
1109.1465,317,180.747806
1051.995109,300,180.950506
1416.655115,407,182.134335
1046.670038,297,182.334041
1383.08199,407,182.607637
1603.547779,500,182.945627
889.347686,262,183.122817
1257.78228,365,184.277854
889.62366,257,184.451603
920.693827,270,184.63431
739.627007,213,184.777917
865.424451,258,184.95276
912.906527,269,185.134502
1474.230086,433,185.426492
809.793544,235,186.494587
1202.153039,344,186.726972
843.22722,240,186.888658
875.769544,248,187.056205
846.609679,246,187.221779
686.73203,205,187.360201
651.442979,200,187.495202
1438.368346,416,187.776467
1196.973089,346,188.9205
993.814305,287,189.113935
736.49024,220,189.262789
1084.152321,307,189.470024
1497.699112,500,189.807554
798.205331,237,189.967932
1667.657657,500,191.216144
678.337759,202,191.353044
953.472205,277,191.539872
1584.512907,500,191.878254
1613.38217,500,192.215019
1470.576972,500,193.462159
1600.749675,500,193.799933
1556.465046,500,194.137682
1613.920503,500,194.474339
1018.359806,290,194.67002
943.979038,310,195.788073
1458.404547,500,196.125847
1630.441144,500,196.462246
1456.188724,500,196.799225
926.595516,280,196.988526
1525.229008,500,198.234725
533.520639,165,198.346527
1156.301939,333,198.570509
1339.831312,500,198.907758
1448.280239,500,199.245707
1365.511385,500,200.493821
1697.873232,474,200.813581
1135.48403,336,201.040338
840.26653,244,201.205074
1720.294628,492,201.536458
810.599548,239,202.607426
656.633081,208,202.747809
1002.497191,304,202.953599
746.81211,216,203.099359
831.259194,242,203.263219
1119.250292,316,203.476522
858.184412,255,203.648435
551.426354,168,203.761903
781.034326,220,204.820156
884.329501,255,204.992595
765.874939,228,205.146235
1690.44103,491,205.478067
1461.017581,500,205.815964
938.404612,273,206.000422
741.171201,214,206.144581
999.461273,288,207.249407
1250.466826,365,207.49569
838.093772,240,207.657954
1175.319855,341,207.887996
1232.130262,358,208.128645
812.6016,237,208.28859
888.210335,253,208.459394
958.980616,280,209.557668
